Country_Hide,Number of Records,Area,Country,countrycode,Consumption Segment,Level,pce_lcu,pce_ppp,pce_usd,"Sector Category or Product",Region
Burundi,1,National,Burundi,BDI,Lowest,National,"192,716.40",294.87,156.58,All categories,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"21,820.79",33.39,17.73,Grains,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,982.78,1.50,0.80,Dairy,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"7,791.83",11.92,6.33,Meat and fish,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"96,154.51",147.13,78.13,Fruits and vegetables,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,545.52,0.83,0.44,Caterig,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"6,671.65",10.21,5.42,Alcohol beverages,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,831.66,1.27,0.68,Non-Alcohol beverages,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"7,961.21",12.18,6.47,Other food,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"6,216.46",9.51,5.05,Clothes,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,908.33,1.39,0.74,Footwear,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"2,584.12",3.95,2.10,Housing,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,268.64,0.41,0.22,Electricity,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"1,973.46",3.02,1.60,Gas,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"15,279.52",23.38,12.41,"Other sources (coal firewood etc.)",Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"2,524.66",3.86,2.05,Vehicles and other transport services,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,208.00,0.32,0.17,Fuel,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"8,205.40",12.56,6.67,Pharmaceutical products,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"1,875.03",2.87,1.52,Medical goods and services,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"1,086.14",1.66,0.88,Education,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,405.04,0.62,0.33,Telephone equipment and services,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,378.57,0.58,0.31,Other ICT goods and services,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,0.00,0.00,0.00,Financial Services,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,310.42,0.47,0.25,Water utilities,Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,216.43,0.33,0.18,"Appliances articles and products for personal care",Sub-Saharan Africa
Burundi,1,National,Burundi,BDI,Lowest,National,"7,516.27",11.50,6.11,Other,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"147,118.60",503.28,297.04,All categories,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"31,659.67",108.31,63.92,Grains,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"1,585.54",5.42,3.20,Dairy,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"18,752.46",64.15,37.86,Meat and fish,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"21,454.32",73.39,43.32,Fruits and vegetables,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,0.00,0.00,0.00,Caterig,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"2,441.68",8.35,4.93,Alcohol beverages,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"2,987.43",10.22,6.03,Non-Alcohol beverages,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"7,137.94",24.42,14.41,Other food,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"11,061.05",37.84,22.33,Clothes,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"2,199.55",7.52,4.44,Footwear,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"2,273.66",7.78,4.59,Housing,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,290.00,0.99,0.59,Electricity,Sub-Saharan Africa
